"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"PRSS3",3,104,673,424.903846153846,1,2.73717948717949,248.096153846154,-1.73717948717949,1.2093573447448,300.036905856782,-2.10087077196052,0.249906467493262,107,0.5321969026568
"OR5AC2",2,68,712,451.573529411765,1,2.75490196078431,260.426470588235,-1.75490196078431,1.13504079489049,295.594668186995,-1.9918853165235,0.311170102869034,70,0.584534492305381
"HSD3B1",3,87,937.333333333333,640.689655172414,0.833333333333333,2.10727969348659,296.64367816092,-1.27394636015326,0.981913485074323,291.278427848254,-1.25090511029583,0.410957923434383,90,0.670892293962687
"RAB2A",2,67,1193,907.671641791045,0.75,0.996268656716418,285.328358208955,-0.246268656716418,1.00290264578712,286.156565365857,-0.246983487395336,0.422885298124477,69,0.680837513246617
"OR6C4",2,67,915.5,603.671641791045,0.75,1.16169154228856,311.828358208955,-0.411691542288557,0.904485836244749,282.044333339454,-0.372369168901756,0.64802250647531,69,0.849444363557636
"GPBP1",2,36,1193,906.527777777778,0.75,1.19444444444444,286.472222222222,-0.444444444444444,0.976033642740007,279.60652659938,-0.43379273010667,0.416882399448593,38,0.674387672082367
"ZNF559",4,103,785.25,397.776699029126,1.125,5.00485436893204,387.473300970874,-3.87985436893204,0.705031785450828,273.180993198021,-2.73542065301735,0.224688166688641,107,0.496826148477901
"DEFB103B",2,66,1001.5,541.106060606061,1.25,2.72979797979798,460.393939393939,-1.47979797979798,0.58957094920008,271.434891854449,-0.872445899573856,0.469092629200916,68,0.71975281274339
"PRAMEF1",4,132,743.25,411.530303030303,1.25,4.45707070707071,331.719696969697,-3.20707070707071,0.816837493484939,270.961085812311,-2.61965559779261,0.255581530463665,136,0.540319206392845
"KLK3",3,193,851.333333333333,565.523316062176,1.16666666666667,1.75,285.810017271157,-0.583333333333333,0.944647561923841,269.98973598861,-0.551044411122241,0.421602923419801,196,0.679191392660876
"H2BC8",2,117,916,584.82905982906,1.75,2.12678062678063,331.17094017094,-0.376780626780627,0.814259652688481,269.659134724107,-0.306797262302141,0.630404361944322,119,0.834048910258488
"OR10W1",2,63,882,636.142857142857,0.75,1.38095238095238,245.857142857143,-0.630952380952381,1.08784660154979,267.454857323885,-0.686379403358799,0.59219478899319,65,0.811008901278409
"SEPTIN11",2,48,1317,1023.5,0.5,1.01388888888889,293.5,-0.513888888888889,0.904698966531925,265.52914667712,-0.464914746690017,0.140947308310323,50,0.378126608434163
"KRTAP2-1",3,104,862.666666666667,622.855769230769,0.833333333333333,1.53525641025641,239.810897435897,-0.701923076923077,1.08163989263544,259.389033355372,-0.759228001561411,0.419024834934999,107,0.676289001658525
"OR4A16",4,69,739.25,489.391304347826,4.625,3.36473429951691,249.858695652174,1.26026570048309,1.03588569650795,258.825048974221,1.30549121293001,0.515245079440724,73,0.759782952922467
"DEFB103A",2,66,1001.5,564.257575757576,1.25,2.27525252525253,437.242424242424,-1.02525252525253,0.58957094920008,257.78543109115,-0.60445910448291,0.485617897820063,68,0.736187555510788
