"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"KIF5A",3,29,1511.66666666667,801.620689655172,0.833333333333333,1.22413793103448,710.045977011494,-0.390804597701149,1.03811061081956,737.106262905375,-0.405698399630633,0.13629022815498,32,0.432539684285808
"RPL22L1",2,40,2221.5,976.45,0.5,1.175,1245.05,-0.675,0.591825881340927,736.852813563521,-0.399482469905126,0.0397199653131375,42,0.253015199849524
"TMEM47",4,41,1550.75,652.512195121951,0.625,0.947154471544715,898.237804878049,-0.322154471544715,0.820089187437096,736.63511152772,-0.264195398798333,0.109427288685574,45,0.401172472724921
"REEP3",2,3,1771,737.333333333333,0.5,1,1033.66666666667,-0.5,0.71238947831936,736.373257422778,-0.35619473915968,0.116361150978003,5,0.410396433634688
"TATDN1",3,16,1453.33333333333,819.375,0.833333333333333,1.15625,633.958333333333,-0.322916666666667,1.15940665325774,735.015509554854,-0.374391731781145,0.00163588108074066,19,0.0349571165702655
"KRTAP2-4",2,27,1399.5,750.296296296296,0.75,1.16666666666667,649.203703703704,-0.416666666666667,1.12932540619444,733.162236388117,-0.470552252581015,0.619321017555803,29,0.787692080564499
"TMEM30A",5,30,1398,744.066666666667,0.8,1.06666666666667,653.933333333333,-0.266666666666667,1.12049379942031,732.728245234255,-0.298798346512083,0.0386139096415985,35,0.249046573640478
"THRA",2,21,1862,1056.52380952381,0.5,0.96031746031746,805.47619047619,-0.46031746031746,0.909606350399069,732.666257952393,-0.418707685104333,0.115475410539435,23,0.410168658236074
"SNRPD2",3,52,1559.66666666667,613.923076923077,1,3.12820512820513,945.74358974359,-2.12820512820513,0.77134833984101,729.497747863995,-1.64158749248215,0.29112300004402,55,0.574138841454939
"SNX1",3,22,1725.66666666667,1013.86363636364,0.5,1.04545454545455,711.80303030303,-0.545454545454545,1.02289959864744,728.103034013004,-0.557945235625878,0.0429787805463576,25,0.259430826379524
