"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"KRT85",3,63,1303,639.603174603175,0.666666666666667,0.981481481481482,663.396825396825,-0.314814814814815,1.17882850681986,782.031089111575,-0.371112678072919,0.10920223848767,66,0.401077339151404
"ACAP1",2,13,1544,732.846153846154,0.5,1.16666666666667,811.153846153846,-0.666666666666667,0.960909137686747,779.44514283898,-0.640606091791164,0.00333971434588656,15,0.058790742406003
"SLC25A36",3,29,1703,890.931034482759,0.666666666666667,1.10344827586207,812.068965517241,-0.436781609195402,0.958164294562639,778.095487481039,-0.418508542452647,0.0426444732563008,32,0.258192901715421
"MFGE8",2,28,1544,776.428571428571,0.5,1.17857142857143,767.571428571429,-0.678571428571429,1.0123771582207,777.071781588546,-0.686970214506904,0.00680935256306388,30,0.0938934426474672
"AMELY",3,60,1694.66666666667,781.533333333333,0.666666666666667,0.927777777777778,913.133333333333,-0.261111111111111,0.847162771349957,773.572565278691,-0.221203612519156,0.126747288873952,63,0.423126287669434
"CYP2W1",2,15,1737,948.4,0.75,0.911111111111111,788.6,-0.161111111111111,0.980387246762187,773.13338279666,-0.157951278645019,0.236384450257764,17,0.53325581523633
"OR4K2",4,160,1226.5,482.60625,2.5,2.60729166666667,743.89375,-0.107291666666666,1.03618192034812,770.809254409965,-0.111173685204017,0.160738426981377,164,0.461306714755382
"ZFP3",2,63,1707.5,464.52380952381,0.75,10.005291005291,1242.97619047619,-9.255291005291,0.619330142393179,769.81262103895,-5.73208069619719,0.303789184507557,65,0.583256020827026
"SLCO1B3",4,43,1317.25,575.46511627907,1.125,1.67441860465116,741.78488372093,-0.549418604651163,1.0365158278577,768.87177284233,-0.569481079840424,0.0834093661339941,47,0.355713796234195
"HIGD1C",3,30,1507.66666666667,801.5,1,0.983333333333333,706.166666666667,0.0166666666666667,1.08768336944774,768.085739391676,0.0181280561574623,0.200050554801931,33,0.502136945344544
"RPL23",2,42,1862,768.452380952381,0.5,1.55952380952381,1093.54761904762,-1.05952380952381,0.700064532496534,765.55390269127,-0.741735040383233,0.112607775663717,44,0.405367059981384
"EPC1",3,21,1834.66666666667,1128.09523809524,0.666666666666667,1.04761904761905,706.571428571429,-0.380952380952381,1.07954245290619,762.773853153429,-0.411254267773786,0.210201014833786,24,0.514902711137926
"SCNN1B",2,23,1638.5,840.304347826087,0.75,1.10869565217391,798.195652173913,-0.358695652173913,0.95469557346087,762.033855886147,-0.342445151350095,0.463755753385712,25,0.687584777332411
"PLTP",3,17,1602.66666666667,794.352941176471,0.666666666666667,1.38235294117647,808.313725490196,-0.715686274509804,0.942453030175385,761.79771992059,-0.674500698066697,0.323403402462546,20,0.591721610000153
"PRKD2",2,42,1707.5,882.928571428571,0.75,1.36111111111111,824.571428571429,-0.611111111111111,0.92322946332168,761.268637470391,-0.564195783141027,0.422234356713105,44,0.660629792257466
"LEFTY1",3,25,1523,680.48,0.833333333333333,1.08,842.52,-0.246666666666667,0.90104463102824,759.148122533913,-0.222257675653633,0.0989335263465036,28,0.383079817132392
"XKR8",2,4,1362.5,690,1,1,672.5,0,1.12275732910061,755.054303820161,0,0.0579493102852952,6,0.301095387594004
"SULT1E1",2,9,1186,484.111111111111,0.75,1.27777777777778,701.888888888889,-0.527777777777778,1.0720433021481,752.455282185505,-0.565800631689274,0.209501560426283,11,0.513959047290748
"GIP",2,10,1903.5,935.2,0.5,1.03333333333333,968.3,-0.533333333333333,0.776322771352514,751.713339500639,-0.414038811388007,0.239838347097734,12,0.534311869916102
"SLC9A6",2,51,1847,932.764705882353,0.75,1.19934640522876,914.235294117647,-0.449346405228758,0.821556148552575,751.095627106125,-0.369163302045683,0.319449199358731,53,0.589159263434654
"OR10A2",2,77,1346.5,619.064935064935,1.25,1.32683982683983,727.435064935065,-0.0768398268398269,1.03132138541698,750.219338969723,-0.0792465566716512,0.506360829333626,79,0.713727645155969
"KIF2C",2,23,1592,899.695652173913,0.75,1.95652173913043,692.304347826087,-1.20652173913043,1.08161861375775,748.809268994113,-1.30499637094685,0.388030919929756,25,0.640401695781213
"AMELX",3,59,1694.66666666667,790.898305084746,0.666666666666667,0.912429378531073,903.768361581921,-0.245762711864407,0.828142193090546,748.448713006302,-0.20352647118327,0.128868903109495,62,0.425235455677573
"SLC12A4",3,15,1511.66666666667,739.2,0.833333333333333,1.22222222222222,772.466666666667,-0.388888888888889,0.96752375564542,747.379850444232,-0.376259238306552,0.105539694719729,18,0.393411026212721
"PKD2L2",4,17,1505.5,780.235294117647,0.75,1.38235294117647,725.264705882353,-0.63235294117647,1.02903949989895,746.326030235534,-0.650716154347864,0.0335746146339173,21,0.233452190172659
"CLEC4M",3,51,1216,510.78431372549,1,3.01633986928105,705.21568627451,-2.01633986928105,1.04833777347316,739.304242367365,-2.11380524912725,0.0280486672100355,54,0.217024297228518
"OR56A4",5,117,1201,484.316239316239,1.6,1.50854700854701,716.683760683761,0.0914529914529916,1.03090935731437,738.835995124142,0.0942797446432802,0.162797752996246,122,0.46203112285014
