"gene","trait","estimate_longevity","std_error_longevity","p_value_longevity","n_species","n_nonzero_species","n_zeros_excluded","n_total_species","mean_copy_number","copy_number_range","status","adjusted_p_longevity"
"FOXL2","MLres",0.0161854674046369,0.255207281413706,0.949431370134523,265,265,98,363,1.00754716981132,"1 - 2","success",0.999997530435179
"AIFM3","MLres",-0.083945148985569,0.212251876693512,0.69247554940522,339,339,24,363,1.03244837758112,"1 - 4","success",0.999997530435179
"KCTD16","MLres",-0.0088545529246328,0.212636549035023,0.966784309490379,353,353,10,363,1.0028328611898,"1 - 2","success",0.999997530435179
"B3GALT5","MLres",-0.309424550748077,0.236437245104246,0.190637241399448,328,328,35,363,1.14329268292683,"1 - 7","success",0.999997530435179
"ZNF703","MLres",0.00332986941959368,0.226949148372705,0.988293606320683,291,291,72,363,1.01030927835052,"1 - 2","success",0.999997530435179
"SLC35F3","MLres",-0.111927726619987,0.204010152334404,0.583253886642234,344,344,19,363,1.08139534883721,"1 - 2","success",0.999997530435179
"KCTD8","MLres",-0.0356415220144855,0.22101069132602,0.871883858500473,317,317,46,363,1.00946372239748,"1 - 2","success",0.999997530435179
"TUBA8","MLres",0.0706646188687845,0.208326071605711,0.73445756730657,335,335,28,363,1.07164179104478,"1 - 2","success",0.999997530435179
"NPIPA5","MLres",0.47547792666104,0.572814047447032,0.406497065541926,119,119,244,363,2.95798319327731,"1 - 39","success",0.999997530435179
"BPY2B","MLres",NA,NA,NA,0,8,355,363,NA,NA,"Insufficient nonzero species",NA
"EMILIN3","MLres",0.0463218567354258,0.224782997769512,0.836733367620919,317,317,46,363,1.02523659305994,"1 - 2","success",0.999997530435179
"OLFML1","MLres",NA,NA,NA,0,331,32,363,NA,NA,"No variation in nonzero copy numbers",NA
"FAM162B","MLres",-0.0115759572415211,0.232918779559289,0.960361819476586,299,299,64,363,1.0066889632107,"1 - 2","success",0.999997530435179
"RBM12B","MLres",-0.0423636398151474,0.215832900142929,0.844391166267781,329,329,34,363,1.00911854103343,"1 - 2","success",0.999997530435179
"CCR4","MLres",-0.0131121060845876,0.212235689189774,0.950737335803713,336,336,27,363,1.00595238095238,"1 - 2","success",0.999997530435179
"LIN9","MLres",-0.127520730459207,0.203139782703988,0.530168590045295,351,351,12,363,1.07977207977208,"1 - 3","success",0.999997530435179
"BTBD9","MLres",-0.148064447772819,0.201191784641764,0.461769131429136,352,352,11,363,1.09090909090909,"1 - 3","success",0.999997530435179
"NUDT14","MLres",-0.0268296477039561,0.224289646518114,0.904783751270915,308,308,55,363,1.01623376623377,"1 - 2","success",0.999997530435179
"ANKRD45","MLres",-0.0164160931557309,0.208323340974109,0.937190887394992,347,347,16,363,1.00864553314121,"1 - 2","success",0.999997530435179
"CFAP91","MLres",-0.0186370507131186,0.21052921881536,0.929459597858633,343,343,20,363,1.00583090379009,"1 - 2","success",0.999997530435179
"PNMA3","MLres",0.309745768831459,0.285958416817161,0.278726469790838,171,171,192,363,1.26900584795322,"1 - 8","success",0.999997530435179
"GPR39","MLres",0.0115337114063147,0.212238803957836,0.956661823221762,340,340,23,363,1.01176470588235,"1 - 3","success",0.999997530435179
"FAM3B","MLres",-0.117477259635973,0.210115373342074,0.576087776643194,329,329,34,363,1.06079027355623,"1 - 3","success",0.999997530435179
"ZNF730","MLres",0.284580330293664,0.339084984503596,0.401323645684836,176,176,187,363,9.21590909090909,"1 - 39","success",0.999997530435179
"KIRREL1","MLres",-0.0491311482504789,0.208362438584368,0.813590530181033,337,337,26,363,1.03560830860534,"1 - 2","success",0.999997530435179
"IQGAP3","MLres",-0.0433286332253702,0.215668685005955,0.840773887450712,326,326,37,363,1.01533742331288,"1 - 2","success",0.999997530435179
"CNGA2","MLres",-0.00239750824955138,0.219495303926437,0.991285021842888,314,314,49,363,1.0031847133758,"1 - 2","success",0.999997530435179
"TOB2","MLres",0.000683260151264851,0.212340482649054,0.997432605511014,334,334,29,363,1.00299401197605,"1 - 2","success",0.999997530435179
"SCN5A","MLres",-0.204810649432679,0.211085264573488,0.331909684618617,317,317,46,363,1.10725552050473,"1 - 5","success",0.999997530435179
"ARSI","MLres",-0.0155283812645165,0.213370125026543,0.941983783818516,346,346,17,363,1.00578034682081,"1 - 2","success",0.999997530435179
"UTY","MLres",-0.107257807748637,0.178881762415156,0.548771718011185,322,322,41,363,1.46583850931677,"1 - 5","success",0.999997530435179
"SRARP","MLres",NA,NA,NA,0,302,61,363,NA,NA,"No variation in nonzero copy numbers",NA
"TTC32","MLres",-0.0265312239126271,0.212897097012803,0.900824439923949,334,334,29,363,1.02694610778443,"1 - 2","success",0.999997530435179
"LRRC55","MLres",-0.0133226805904823,0.21154898958236,0.949784970340983,347,347,16,363,1.00864553314121,"1 - 2","success",0.999997530435179
"DNAH2","MLres",0.060287594999628,0.212234403216254,0.776363351521335,324,324,39,363,1.01851851851852,"1 - 2","success",0.999997530435179
"SH2D1A","MLres",-0.185047582868755,0.204038312643114,0.364446106779861,345,345,18,363,1.06376811594203,"1 - 2","success",0.999997530435179
"SDR42E2","MLres",0.00324083186965987,0.216536006682409,0.988058738046062,335,335,28,363,1.0089552238806,"1 - 2","success",0.999997530435179
