"","pathway","pval","padj","log2err","ES","NES","size"
"264","KEGG_MEDICUS_REFERENCE_DOUBLE_STRAND_BREAK_SIGNALING",0.822898032200358,1,0.0494904866135495,0.353961337303843,0.715932041997785,13
"265","KEGG_MEDICUS_REFERENCE_DRD1_GNAS_AC_PKA_SIGNALING_PATHWAY",0.693805309734513,0.965453993100925,0.0568864160475701,0.39440160582562,0.819488155506539,15
"266","KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE",0.319148936170213,0.71954932685473,0.133554954557592,-0.408353758186067,-1.11272720131086,30
"267","KEGG_MEDICUS_REFERENCE_E2_ER_RAS_ERK_SIGNALING_PATHWAY",0.530063291139241,0.893732430360337,0.0643583367917361,0.424967869316857,0.951442012084765,23
"268","KEGG_MEDICUS_REFERENCE_EARLY_ENDOSOMAL_FUSION",0.488593155893536,0.87007644287017,0.0776798560117236,0.55796004427144,1.01006190759325,8
"269","KEGG_MEDICUS_REFERENCE_EGF_EGFR_ACTIN_SIGNALING_PATHWAY",0.865284974093264,1,0.0645031249656493,-0.282430791814075,-0.71327130210205,21
"270","KEGG_MEDICUS_REFERENCE_EGF_EGFR_PI3K_NFKB_SIGNALING_PATHWAY",0.0367287074400665,0.229387287561073,0.321775918075361,-0.675200036128232,-1.55781147126567,14
"271","KEGG_MEDICUS_REFERENCE_EGF_EGFR_PI3K_SIGNALING_PATHWAY",0.00150216140294183,0.0219726093411678,0.45505986738723,-0.846810591687725,-1.72860625178857,9
"272","KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY",0.0608899297423888,0.31795074178121,0.282013350011725,-0.61738207423594,-1.45804908798946,16
"273","KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CAMK_SIGNALING_PATHWAY",0.0220817227776154,0.159583880395384,0.352487857583619,-0.688364450043191,-1.60586815602315,15
"274","KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_ERK_SIGNALING_PATHWAY",0.847517730496454,1,0.0477342401407188,0.341247254414773,0.70105108185313,14
"275","KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_ERK_SIGNALING_PATHWAY",0.641739130434783,0.942355333985809,0.0597317976364411,0.411010673943791,0.867644745156709,16
"276","KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_JNK_SIGNALING_PATHWAY",0.252821670428894,0.65495956962824,0.128788713061714,-0.519779073585543,-1.18072836420382,13
"277","KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY",0.1441647597254,0.5151866603237,0.176694268938498,-0.544608506397525,-1.27050352159854,15
"278","KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_RALGDS_SIGNALING_PATHWAY",0.656818181818182,0.949543780344885,0.0716527366829457,-0.405348310441114,-0.865389691414635,11
