"","X","Scientific_name","maximum_longevity_y","adult_body_mass_g","order","common_name","MLres"
"82",82,"Daubentonia_madagascariensis",32.3,2277.5,"Primates","Aye-aye",0.269743375003796
"83",83,"Delphinapterus_leucas",40,1430000,"Cetacea","Beluga",-0.0710733025922112
"84",84,"Diceros_bicornis",49,1100000,"Perissodactyla","Black rhinoceros",0.0347241323932477
"85",85,"Didelphis_virginiana",6.6,3000,"Didelphimorphia","Virginia opossum",-0.438463089528067
"86",86,"Dinomys_branickii",12.8,12250,"Rodentia","Pacarana",-0.245505033989276
"87",87,"Dipodomys_ordii",9.9,57,"Rodentia","Ord's kangaroo rat",0.00442327498808839
"88",88,"Dipodomys_stephensi",2.083333333,66.495,"Rodentia","Stephens's Kangaroo Rat",-0.682824922322601
"89",89,"Dolichotis_patagonum",14.4,12500,"Rodentia","Patagonian mara",-0.195712479564032
"90",90,"Dromiciops_gliroides",3.491666667,24.05,"Microbiotheria","Monito del monte",-0.390090960888225
"91",91,"Dugong_dugon",73,360000,"Sirenia","Dugong",0.283040430368315
"92",92,"Echinops_telfairi",19,180,"Afrosoricida","Lesser hedgehog tenrec",0.210134490472634
"93",93,"Eidolon_dupreanum",21.8325,297.58,"Chiroptera","Malagasy Straw-colored Fruit Bat",0.236642774297423
"94",94,"Eidolon_helvum",21.8,306.25,"Chiroptera","Straw-colored fruit bat",0.234062569725104
"95",95,"Elaphurus_davidianus",27.5,186500,"Artiodactyla","Pere David's deer",-0.0966777503611988
"96",96,"Elephantulus_edwardii",5.658333333,50,"Macroscelidea","Cape elephant shrew",-0.229703076180635
"97",97,"Elephas_maximus",65.5,3178000,"Proboscidea","Asiatic elephant",0.0893508529063681
"98",98,"Eliomys_quercinus",5.5,82.5,"Rodentia","Garden dormouse",-0.27573916803619
"99",99,"Ellobius_talpinus",5,40,"Rodentia","Northern mole vole",-0.26840044029525
"100",100,"Eonycteris_spelaea",5,55.15,"Chiroptera","Lesser Dawn Bat",-0.290020851813773
"101",101,"Eptesicus_fuscus",19,23,"Chiroptera","Big brown bat",0.348634907585683
"102",102,"Equus_caballus",57,3e+05,"Perissodactyla","Horse",0.187865607088056
"103",103,"Equus_zebra",33.2,296000,"Perissodactyla","Mountain zebra",-0.0459675791319492
"104",104,"Erignathus_barbatus",31.4525,373000,"Carnivora","Bearded seal",-0.0850152571685973
"105",105,"Erinaceus_europaeus",11.7,750,"Erinaceomorpha","Western European hedgehog",-0.0965011953233797
"106",106,"Erythrocebus_patas",28.3,7750,"Primates","Patas monkey",0.129890982802823
"107",107,"Eschrichtius_robustus",77,28500000,"Cetacea","Gray whale",0.0119321190197193
"108",108,"Eubalaena_australis",70,4.5e+07,"Cetacea","Southern right whale",-0.060207773009042
"109",109,"Eubalaena_glacialis",67,2.3e+07,"Cetacea","North atlantic right whale",-0.0340505612098174
"110",110,"Eudorcas_thomsonii",20,25000,"Artiodactyla","Thomson's gazelle",-0.0997049599954979
"111",111,"Eulemur_fulvus",35.5,2485,"Primates","Brown lemur",0.304899622476987
"112",112,"Eulemur_macaco",37.5,2467,"Primates","Black lemur",0.329191913414541
"113",113,"Eulemur_mongoz",36.2,1555,"Primates","Mongoose lemur",0.344937446258894
"114",114,"Eumetopias_jubatus",32.8,415000,"Carnivora","Steller sea lion",-0.073979222058021
"115",115,"Felis_catus",30,3900,"Carnivora","Domestic cat",0.201452883364819
"116",116,"Felis_nigripes",15.6,2125,"Carnivora","Black-footed cat",-0.0416691005644622
"117",117,"Galago_moholi",16.6,169.2,"Primates","South African galago",0.15565419012721
"118",118,"Galago_senegalensis",17.1,192.2,"Primates","Senegal galago",0.159962432122607
